unitid,institution_name,year,state,HBCU,institution_sector,FTE,federal_app,state_app,academic_support,total_rev,fed_grants,core_expenses,grad_rate
100654,Alabama A & M University,2023,Alabama,Yes,"Public, 4-year or above",6031,2303040,74140134,8910325,232809852,10434767,190299674,15
100724,Alabama State University,2023,Alabama,Yes,"Public, 4-year or above",3545,0,69270686,20251707,182037788,318922,147942742,13
100858,Auburn University,2023,Alabama,No,"Public, 4-year or above",29685,0,372626667,200705568,1553599802,1511846,1155922209,57
101879,University of North Alabama,2023,Alabama,No,"Public, 4-year or above",7280,0,64162803,7392522,183337305,173097,136686858,33
130934,Delaware State University,2023,Delaware,Yes,"Public, 4-year or above",5221,0,45905871,5533412,218849537,628241,201077202,28
131399,University of the District of Columbia,2023,District of Columbia,Yes,"Public, 4-year or above",2459,0,96502038,17726817,208632961,45245552,188647063,23
133650,Florida Agricultural and Mechanical University,2023,Florida,Yes,"Public, 4-year or above",8483,0,130006631,63141725,461724102,3709134,332441846,27
138354,University of West Florida,2023,Florida,No,"Public, 4-year or above",9901,0,98849197,33156468,264348742,272000,208695267,47
138716,Albany State University,2023,Georgia,Yes,"Public, 4-year or above",5435,0,35963572,8257118,133108826,8037284,108331584,14
139719,Fort Valley State University,2023,Georgia,Yes,"Public, 4-year or above",2558,5430527,29617614,14469769,102988096,1456401,83203614,18
139764,Georgia Southwestern State University,2023,Georgia,No,"Public, 4-year or above",2606,0,20732973,3352898,54868484,573066,42073069,20
139931,Georgia Southern University,2023,Georgia,No,"Public, 4-year or above",22246,0,160221268,54878747,487407691,2780712,376378556,34
140960,Savannah State University,2023,Georgia,Yes,"Public, 4-year or above",2740,0,24935134,8450986,90378947,1146259,55230614,17
157058,Kentucky State University,2023,Kentucky,Yes,"Public, 4-year or above",1448,0,27916464,879358,91255959,450271,75585165,15
157085,University of Kentucky,2023,Kentucky,No,"Public, 4-year or above",30189,0,319235100,150923964,7119829778,3361520,2018703216,54
159009,Grambling State University,2023,Louisiana,Yes,"Public, 4-year or above",4375,0,17707523,3404168,117934690,1965778,78707775,9
159391,Louisiana State University and Agricultural & Mechanical College,2023,Louisiana,No,"Public, 4-year or above",35376,0,285164070,131151924,1548580266,3853526,1239329036,46
159647,Louisiana Tech University,2023,Louisiana,No,"Public, 4-year or above",9713,0,35877264,18916785,205270333,418120,144141881,41
160621,Southern University and A & M College,2023,Louisiana,Yes,"Public, 4-year or above",6310,0,37692949,24194783,191275108,806016,148347519,10
162007,Bowie State University,2023,Maryland,Yes,"Public, 4-year or above",5453,0,72755092,39072216,249817634,9213895,154509413,15
162283,Coppin State University,2023,Maryland,Yes,"Public, 4-year or above",1730,0,62651967,10725664,118895577,396857,87175236,10
162584,Frostburg State University,2023,Maryland,No,"Public, 4-year or above",3290,0,55047296,10859070,146726669,170987,93351160,33
163268,University of Maryland-Baltimore County,2023,Maryland,No,"Public, 4-year or above",12532,0,190913456,36095821,591087431,509701,483537132,48
163286,University of Maryland-College Park,2023,Maryland,No,"Public, 4-year or above",38060,0,759629441,238480552,2640225944,5032182,2065211173,76
163338,University of Maryland Eastern Shore,2023,Maryland,Yes,"Public, 4-year or above",2577,0,64020456,7793070,168678756,3533392,128450947,19
